Event,Place,Entry,Lane,Time,Margin
#116 Mens Youth San Diego Rowing Cup Final 2 (14:12:00) Official,2,Marina Aquatic Center,5,06:09.980,08.468
#116 Mens Youth San Diego Rowing Cup Final 2 (14:12:00) Official,3,"Long Beach Junior Crew (Hutton, R.) ",2,06:12.318,10.806
#116 Mens Youth San Diego Rowing Cup Final 2 (14:12:00) Official,4,Capital,3,06:14.804,13.292
#116 Mens Youth San Diego Rowing Cup Final 2 (14:12:00) Official,5,Dallas United Crew,4,06:15.903,14.391
#116 Mens Youth San Diego Rowing Cup Final 2 (14:12:00) Official,6,Pacific,6,06:28.940,27.428
#117 Mens Youth San Diego Rowing Cup Final 1 (14:20:00) Official,1,Newport,3,05:50.852,
#117 Mens Youth San Diego Rowing Cup Final 1 (14:20:00) Official,2,Saugatuck,1,05:52.739,01.887
#117 Mens Youth San Diego Rowing Cup Final 1 (14:20:00) Official,3,"Marin (Sutherland, K.) ",2,05:57.274,06.422
#117 Mens Youth San Diego Rowing Cup Final 1 (14:20:00) Official,4,Norcal Crew,5,05:59.209,08.357
#117 Mens Youth San Diego Rowing Cup Final 1 (14:20:00) Official,5,San Diego RC,4,06:05.689,14.837
#117 Mens Youth San Diego Rowing Cup Final 1 (14:20:00) Official,6,Maritime RC,6,06:11.692,20.840
#118 Womens U17 Referee Cup LA84 Foundation Trophy Final 2 (14:28:00) Official,1,"Austin (Ueber, I.) ",3,07:13.797,
#118 Womens U17 Referee Cup LA84 Foundation Trophy Final 2 (14:28:00) Official,2,White Rock Rowing,1,07:22.034,08.237
#118 Womens U17 Referee Cup LA84 Foundation Trophy Final 2 (14:28:00) Official,3,Marina Aquatic Center,2,07:25.221,11.424
#118 Womens U17 Referee Cup LA84 Foundation Trophy Final 2 (14:28:00) Official,4,Casitas Rowing,6,07:28.510,14.713
#118 Womens U17 Referee Cup LA84 Foundation Trophy Final 2 (14:28:00) Official,5,"Dallas United A (Bell, V.) ",5,07:30.335,16.538
#118 Womens U17 Referee Cup LA84 Foundation Trophy Final 2 (14:28:00) Official,6,"Saint Ignatius (Keene, A.) ",4,07:32.049,18.252
#119 Womens U17 Referee Cup LA84 Foundation Trophy Final 1 (14:36:00) Official,1,Capital,1,07:03.008,
#119 Womens U17 Referee Cup LA84 Foundation Trophy Final 1 (14:36:00) Official,2,Long Beach Junior Crew,2,07:04.952,01.944
#119 Womens U17 Referee Cup LA84 Foundation Trophy Final 1 (14:36:00) Official,3,Newport,3,07:08.857,05.849
#119 Womens U17 Referee Cup LA84 Foundation Trophy Final 1 (14:36:00) Official,4,Norcal Crew,6,07:09.309,06.301
#119 Womens U17 Referee Cup LA84 Foundation Trophy Final 1 (14:36:00) Official,5,Pacific,5,07:16.509,13.501
#119 Womens U17 Referee Cup LA84 Foundation Trophy Final 1 (14:36:00) Official,6,"Marin (King, A.) ",4,07:26.860,23.852
#120 Mens U17 Shimano Rowing Dynamics Cup Final 2 (14:44:00) Official,1,Dallas United,1,06:42.606,
#120 Mens U17 Shimano Rowing Dynamics Cup Final 2 (14:44:00) Official,2,"CCHS Crew (Wittman, H.) ",2,06:51.652,09.046
#120 Mens U17 Shimano Rowing Dynamics Cup Final 2 (14:44:00) Official,3,Casitas Rowing,3,07:11.972,29.366
#120 Mens U17 Shimano Rowing Dynamics Cup Final 2 (14:44:00) Official,4,Marina Aquatic Center,4,07:20.341,37.735
#121 Mens U17 Shimano Rowing Dynamics Cup Final 1 (14:52:00) Official,1,"Marin A (Ryan, H.) ",2,06:18.140,
#121 Mens U17 Shimano Rowing Dynamics Cup Final 1 (14:52:00) Official,2,Newport,1,06:25.851,07.711
#121 Mens U17 Shimano Rowing Dynamics Cup Final 1 (14:52:00) Official,3,"Long Beach Junior Crew (Josephbek, C.) ",4,06:28.626,10.486
#121 Mens U17 Shimano Rowing Dynamics Cup Final 1 (14:52:00) Official,4,"Marin B (Wilcox, B.) ",3,06:29.592,11.452
#121 Mens U17 Shimano Rowing Dynamics Cup Final 1 (14:52:00) Official,5,San Diego RC,6,06:40.798,22.658
#121 Mens U17 Shimano Rowing Dynamics Cup Final 1 (14:52:00) Official,6,Norcal Crew,5,06:45.924,27.784
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,1,Marina Aquatic Center,3,07:14.269,
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,2,Newport B,1,07:15.610,01.341
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,3,Sammamish,2,07:17.136,02.867
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,4,"Saint Ignatius (Riad, D.) ",6,07:21.232,06.963
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,5,River City,4,07:28.607,14.338
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,6,Pacific,5,07:33.241,18.972
#122 Womens Youth B ZLAC Rowing Club Cup Final 2 (15:00:00) Official,7,Long Beach Junior Crew,7,07:34.241,19.972
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,1,"Marin A (Holtz, M.) ",2,06:45.355,
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,2,Newport A,1,06:54.371,09.016
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,3,Saugatuck,4,06:58.198,12.843
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,4,Marin B,5,07:08.389,23.034
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,5,Capital,3,07:08.943,23.588
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,6,Norcal Crew,6,07:09.146,23.791
#123 Womens Youth B ZLAC Rowing Club Cup Final 1 (15:08:00) Official,7,San Diego RC,7,07:15.183,29.828
#124 Mens Youth B Jean Jessop Hervey Cup Final 2 (15:16:00) Official,1,Newport B,1,06:19.704,
#124 Mens Youth B Jean Jessop Hervey Cup Final 2 (15:16:00) Official,2,Pacific,2,06:24.864,05.160
#124 Mens Youth B Jean Jessop Hervey Cup Final 2 (15:16:00) Official,3,Dallas United,4,06:28.488,08.784
#124 Mens Youth B Jean Jessop Hervey Cup Final 2 (15:16:00) Official,4,Marina Aquatic Center,6,06:31.781,12.077
#124 Mens Youth B Jean Jessop Hervey Cup Final 2 (15:16:00) Official,5,Newport Sea Base,3,06:31.891,12.187
#124 Mens Youth B Jean Jessop Hervey Cup Final 2 (15:16:00) Official,6,Saint Ignatius,5,06:45.494,25.790
#125 Mens Youth B Jean Jessop Hervey Cup Final 1 (15:24:00) Official,1,"Marin (McMahon, W.) ",2,06:02.731,
#125 Mens Youth B Jean Jessop Hervey Cup Final 1 (15:24:00) Official,2,Newport A,4,06:11.063,08.332
#125 Mens Youth B Jean Jessop Hervey Cup Final 1 (15:24:00) Official,3,Saugatuck,1,06:12.568,09.837
#125 Mens Youth B Jean Jessop Hervey Cup Final 1 (15:24:00) Official,4,Norcal Crew,5,06:13.454,10.723
#125 Mens Youth B Jean Jessop Hervey Cup Final 1 (15:24:00) Official,5,San Diego RC,3,06:14.285,11.554
#125 Mens Youth B Jean Jessop Hervey Cup Final 1 (15:24:00) Official,6,Sammamish,6,06:24.965,22.234
