Event #,Trophy,Event,Heat,Place,Boat,Time
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,3,"Newport A (McDonald, A.)",06:51.186
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,4,Oakland Strokes,06:59.304
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,5,"Newport B (Yoder, G.)",07:01.566
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,6,Long Beach Junior Crew,07:02.376
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,7,New Canaan Crew,07:03.584
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,8,Norcal Crew,07:12.020
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,,,
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,1,Marin,07:32.639
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,2,Newport,07:40.113
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,3,Oakland Strokes,07:42.537
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,4,Capital,07:45.147
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,5,San Diego RC,07:58.619
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,6,Long Beach Junior Crew,08:12.661
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,7,"City Island (Rauschnabel, L.)",08:51.013
108,,Womens HS Ltwt Final 1 (13:08:00) Official,,,,
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,1,Los Gatos,07:51.449
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,2,San Diego RC,07:58.879
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,3,OKC Riversport,08:01.569
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,4,"River City (Rowe, F.)",08:12.191
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,5,Dallas United Crew (Anna Savant),08:13.091
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,6,ZLAC,09:49.969
109,,Womens HS JV ZLAC Rowing Club Cup Final 2 (13:36:00) Official,,,,
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,1,Saugatuck,07:23.824
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,2,"Sammamish Rowing Association (Lalor, A.)",07:30.068
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,3,Capital (Alison Bradus),07:31.152
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,4,Marina Aquatic Center,07:38.128
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,5,Marin,07:40.818
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,6,Newport,07:43.346
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,7,Pacific,07:47.394
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,8,Norcal Crew (Jillian Montulli),07:50.566
110,,Womens HS JV ZLAC Rowing Club Cup Final 1 (13:44:00) Official,,,,
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,1,"Newport B (Schweich, A.)",06:48.845
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,2,Los Gatos,06:51.931
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,3,"Dallas United Crew (McNeill, D.)",06:56.973
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,4,Marina Aquatic Center,06:58.085
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,5,Sammamish Rowing Association,07:02.885
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,6,San Diego RC,07:27.567
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,7,"CCHS Crew (Santos, L.)",08:19.787
111,,Mens HS JV Jean Jessop Hervey Cup Final 2 (13:52:00) Official,,,,
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,1,"Newport A (Smith, A.)",06:37.635
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,2,Marin,06:40.381
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,3,Capital,06:43.715
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,4,Oakland Strokes,06:44.065
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,5,Jesuit College Prep of Dallas,06:53.581
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,6,Norcal Crew,06:55.637
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,7,Pacific,06:59.091
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,8,"Saugatuck (Andrade, E.)",07:03.591
112,,Mens HS JV Jean Jessop Hervey Cup Final 1 (14:00:00) Official,,,,
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,1,"Washington (Skov, L.)",07:08.392
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,2,Stanford - Women,07:16.198
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,3,Potomac,07:19.054
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,4,"Stanford Lightweight Women (Smythe, C.)",07:19.342
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,5,California,07:21.600
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,6,U of Calgary RC,07:54.686
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,7,SDSU,08:14.958
113,,Womens Open Carley Copley Cup Final 1 (14:08:00) Official,,,,
114,,Mens Open Final 1 (14:16:00) Official,,1,California A,06:26.185
114,,Mens Open Final 1 (14:16:00) Official,,2,California B,06:27.255
114,,Mens Open Final 1 (14:16:00) Official,,3,UC San Diego,07:05.941
114,,Mens Open Final 1 (14:16:00) Official,,4,UC Davis,07:29.143
114,,Mens Open Final 1 (14:16:00) Official,,5,Southern California,07:41.781
114,,Mens Open Final 1 (14:16:00) Official,,,,
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,1,Club Nautico De San Juan,06:43.687
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,2,Potomac,06:45.839
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,3,Fat CatUniversityUnion,06:51.835
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,4,College Club Seattle (Geoffrey Roth),06:56.133
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,5,Vashon IslandSeattle RCPocock (David O. Smith),06:57.673
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,6,Potomac,07:12.265
115,,Mens Masters A (27­35) Final 1 (14:24:00) Official,,,,
116,,Womens Masters A Cup (27­35) Final 1 (14:32:00) Official,,1,East Bay,07:57.570
116,,Womens Masters A Cup (27­35) Final 1 (14:32:00) Official,,2,Union,08:13.298
116,,Womens Masters A Cup (27­35) Final 1 (14:32:00) Official,,3,"Dallas United Crew (Parmer, J.)",08:51.956
116,,Womens Masters A Cup (27­35) Final 1 (14:32:00) Official,,,,
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,1,ZLAC,07:47.631
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,2,"BIAC (O'Brien, B.)",07:59.401
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,3,"Fairmount (Funk, P.)",08:06.531
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,4,Los Gatos (Ella Van Der Haar),08:11.735
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,5,"Lincoln Park Boat Club (Miller, A.)",08:20.683
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,6,"San Diego RC (Belza, C.)",08:25.599
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,7,"Los Angeles (Farrand, C.)",08:41.133
117,,Womens Masters B Fred Rickon Memorial Cup (36­42) Final 1 (14:40:00) Official,,,,
118,,Mens Masters B Presidents Trophy (36­42) Final 1 (14:48:00) Official,,1,"CRC Legends (Stitt, S.)",06:53.522
118,,Mens Masters B Presidents Trophy (36­42) Final 1 (14:48:00) Official,,2,"Kent Mitchell (morningstar, w.)",07:23.256
118,,Mens Masters B Presidents Trophy (36­42) Final 1 (14:48:00) Official,,,,
119,,Womens Masters C Margi Fetter Graham Trophy (43­49) Final 1 (14:56:00) Official,,1,Long Beach,07:50.912
119,,Womens Masters C Margi Fetter Graham Trophy (43­49) Final 1 (14:56:00) Official,,2,"San Diego RC (Czajkowski, K.)",07:56.118
119,,Womens Masters C Margi Fetter Graham Trophy (43­49) Final 1 (14:56:00) Official,,3,"Unaff. (USA) (Burkett, E.)",08:24.778
119,,Womens Masters C Margi Fetter Graham Trophy (43­49) Final 1 (14:56:00) Official,,4,Newport Sea Base Rowing,08:45.744
119,,Womens Masters C Margi Fetter Graham Trophy (43­49) Final 1 (14:56:00) Official,,,,
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,1,"SD Canoe and Kayak (Flemer, R.)",07:03.588
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,2,"Palm Beach (Muffelman, M.)",07:06.332
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,3,"North Dakota (Hess, M.)",07:16.870
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,4,"San Diego RC (Walsh, S.)",07:18.884
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,5,East Bay,07:48.320
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,6,"Harvard Alum 1992 (Caughey, T.)",08:04.684
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,7,Newport Sea Base Rowing,08:06.074
120,,Mens Masters C Coach Del Beekley Volunteer Cup (43­49) Final 1 (15:04:00) Official,,,,
121,,"Womens Masters D Waddell & Reed, Inc. Cup (50­54) Final 1 (15:12:00) Official",,1,"College Club Seattle (Scull, C.)",08:08.853
121,,"Womens Masters D Waddell & Reed, Inc. Cup (50­54) Final 1 (15:12:00) Official",,2,Texas Rowing Center,08:21.285
121,,"Womens Masters D Waddell & Reed, Inc. Cup (50­54) Final 1 (15:12:00) Official",,3,"Dallas United Crew (Lachenauer, H.)",08:49.901
121,,"Womens Masters D Waddell & Reed, Inc. Cup (50­54) Final 1 (15:12:00) Official",,4,East Bay,09:06.727
121,,"Womens Masters D Waddell & Reed, Inc. Cup (50­54) Final 1 (15:12:00) Official",,,,
122,,Mens Masters D (50­54) Final 1 (15:20:00) Official,,1,"London (McLellan, D.)",07:08.868
122,,Mens Masters D (50­54) Final 1 (15:20:00) Official,,2,Texas Rowing Center,07:14.832
122,,Mens Masters D (50­54) Final 1 (15:20:00) Official,,3,Chinook,07:26.078
122,,Mens Masters D (50­54) Final 1 (15:20:00) Official,,,,
123,,Womens Masters E Kearney Johnston Cup (55­59) Final 1 (15:28:00) Official,,1,Chinook,08:20.925
123,,Womens Masters E Kearney Johnston Cup (55­59) Final 1 (15:28:00) Official,,2,"Sammamish Rowing Association (Tinker, C.)",08:30.983
123,,Womens Masters E Kearney Johnston Cup (55­59) Final 1 (15:28:00) Official,,3,Pocock,09:07.517
123,,Womens Masters E Kearney Johnston Cup (55­59) Final 1 (15:28:00) Official,,4,"Long Beach (Miller, V.)",09:18.677
123,,Womens Masters E Kearney Johnston Cup (55­59) Final 1 (15:28:00) Official,,,,
124,,Mens Masters E Stewards Cup Final 1 (15:36:00) Official,,1,"Kent Mitchell (Ives, E.)",07:14.968
124,,Mens Masters E Stewards Cup Final 1 (15:36:00) Official,,2,"Cambridge (Pierce, J.)",07:22.966
124,,Mens Masters E Stewards Cup Final 1 (15:36:00) Official,,3,"Long BeachLos Angeles (May, M.)",07:56.144
